formula_discharge,composite_score,confidence_rank_sigma,average_voltage_pred,average_voltage_sigma,average_voltage_lcb,average_voltage_ucb,average_voltage_epi_frac,capacity_grav_pred,capacity_grav_sigma,capacity_grav_lcb,capacity_grav_ucb,capacity_grav_epi_frac,max_delta_volume_pred,max_delta_volume_sigma,max_delta_volume_lcb,max_delta_volume_ucb,max_delta_volume_epi_frac,framework,substitution
Na4Mn4NiO10,-1.8266697847001943,0.4058355976256816,2.802702595407337,0.22331663682728442,1.8727897996537073,3.7326153911609663,0.6172192740373195,149.5436930560646,27.12641396782633,31.248059829331922,267.8393262827973,0.9543852125837586,0.07809576342005292,0.04487883083609523,-0.10942157151634016,0.265613098356446,0.8354977924954188,Na4O10,Mn/Ni mix slot5.0
NaTi6O11,-1.832333005711669,0.24767516276986026,1.6071337556844916,0.26653151056251134,0.4972699064661561,2.716997604902827,0.7653940749091295,67.68499862111415,11.82229832609059,16.129114074820265,119.24088316740803,0.933269002933981,0.03459678767440633,0.024530474077191906,-0.06789895559664375,0.13709253094545643,0.655758669708346,Na1O11,Ti->slot6.0
Na3Cr5O10,-1.873373967158452,0.5431770331579652,3.838933270170867,1.3367118069457757,-1.7272682953452847,9.405134835687019,0.940844704119628,130.80021787691354,9.942738523408359,87.4409094541545,174.15952629967256,0.8214268448717253,0.05970458265535451,0.023550603371983368,-0.038696964314236484,0.15810612962494552,0.5937387855606784,Na3O10,Cr->slot5.0
Na9Fe20CoO40,-1.87595545997931,0.3446637536907005,3.61978331655216,0.3462130896694261,2.178117407934719,5.061449225169601,0.8899511251745166,84.56459528758961,18.91789196901094,2.0655221538031867,167.06366842137604,0.9436693223810781,0.0844101295462118,0.03277856380249602,-0.05254862835313656,0.22136888744556016,0.9123725467777459,Na9O40,Fe/Co mix slot21.0
NaTi5O10,-1.9145326542127963,0.2589850881398172,1.6209850062014284,0.2534405120726063,0.5656333831114544,2.676336629291402,0.7646248409426273,71.48656576475419,9.728437366089397,29.061803689932475,113.9113278395759,0.9097743890390424,0.05150639469895822,0.0305059046394521,-0.07595650554248488,0.1789692949404013,0.7947021058319479,Na1O10,Ti->slot5.0
NaTi7O12,-1.9831048798840178,0.2492883232201074,1.5709269353709172,0.29836001499815346,0.32852601249381985,2.8133278582480146,0.816635928438945,62.009542598150595,11.314149787848415,12.66964403422405,111.34944116207714,0.9267055037862381,0.03190635397851762,0.02341432371399145,-0.0659257753436748,0.12973848330071006,0.6824289108798859,Na1O12,Ti->slot7.0
NaMn2O2,-1.9859167891971756,0.389661020538762,1.9533609490410406,0.3110854316718303,0.6579701192574514,3.24875177882463,0.9046760743079646,187.2929512957865,20.139580368159493,99.46621476519276,275.11968782638024,0.9525165932470105,0.17409826964469027,0.043866691367290524,-0.009190040331864796,0.3573865796212453,0.8297323008544912,Na1O2,Mn->slot2.0
NaCo(NiO2)2,-1.9919455569684508,0.32191289111885474,3.314071583611218,0.3418819234382599,1.8904410840708554,4.73770208315158,0.9616459486130259,84.43257451795539,17.489684257511694,8.161775265541294,160.70337377036947,0.9362567188931346,0.10197874078247504,0.029610736958196698,-0.02174387802152926,0.22570135958647936,0.9247697011717521,Na1O4,Ni/Co mix slot3.0
Na8(CoO2)9,-1.9925123560686124,0.34675268902180156,2.8659482274698673,0.1479767771763269,2.2497581373554634,3.4821383175842713,0.4381201098492597,131.98437413475875,33.97494227846469,-16.177019975040196,280.1457682445577,0.9352639575536333,0.07521476150775432,0.028094150622795626,-0.042171100689243346,0.19260062370475198,0.8093204155658303,Na8O18,Co->slot9.0
Na4Fe4NiO10,-1.997348486968585,0.3606876195327311,2.9667294811470724,0.2370261824395805,1.9797287672250254,3.9537301950691193,0.6010431026171957,135.3513721502805,34.11560626532504,-13.423443822709743,284.1261881232707,0.9267152594502203,0.0757913604119258,0.025225834774848407,-0.029609810260303057,0.18119253108415467,0.7090430134191716,Na4O10,Fe/Ni mix slot5.0
Na9V21O40,-2.000637707770538,0.43230795328544264,3.0929279653233603,0.5839200461910077,0.6614265314645533,5.524429399182168,0.9237653629530724,116.22078563525156,11.852221690988339,64.53440822679565,167.90716304370747,0.9357791218725249,0.0856448892376235,0.04562521217593593,-0.10499105278112289,0.27628083125636993,0.7724246098451272,Na9O40,V->slot21.0
Na9Ni21O40,-2.0348942405694386,0.3505468550471531,3.701693742355854,0.2427269091531546,2.6909546326234355,4.712432852088272,0.8871182786554691,78.66550420536946,19.934785341940945,-8.268141283520706,165.5991496942596,0.9523552284395229,0.07871783860933547,0.039712003003472135,-0.08721092623290493,0.24464660345157585,0.9419478659966868,Na9O40,Ni->slot21.0
Na4Mn5O10,-2.076280702566126,0.46523447681461255,2.693710458598033,0.2702516124361381,1.5683557333619467,3.8190651838341196,0.7244264812822357,176.16673937196123,23.561608168837367,73.41687492328718,278.91660382063526,0.9506988121757853,0.11574616340671728,0.059632274617936694,-0.1334155238348554,0.36490785064828996,0.7804170532838052,Na4O10,Mn->slot5.0
NaTi3O8,-2.082782426750295,0.2803754643269463,2.122910812993679,0.1649455295429029,1.4360611420355167,2.8097604839518415,0.5270329122517006,83.09475993872555,19.358906220693513,-1.3275331321554091,167.5170530096065,0.9434133063454516,0.05637976407630023,0.029552842723758327,-0.06710095509823924,0.1798604832508397,0.6400554647421938,Na1O8,Ti->slot3.0
